New Haven,110026,2011,10/17/11,"$91,980.00","$120,000.00",,0.7665,,1,1,1596 QUINNIPIAC AVENUE,"1596 QUINNIPIAC AVENUE
New Haven, CT
(41.32954814000004, -72.86866939599997)"
New Haven,110028,2011,10/17/11,"$44,730.00","$72,000.00",,0.62125,14,2,1,167 GRAFTON STREET,"167 GRAFTON STREET
New Haven, CT
(41.31325676500006, -72.89548093099995)"
New Haven,110036,2011,10/18/11,"$58,170.00","$72,000.00",,0.807916667,7,2,1,33 ROCK CREEK ROAD,"33 ROCK CREEK ROAD
New Haven, CT
(41.333725162000064, -72.96744760299998)"
New Haven,110033,2011,10/18/11,"$122,640.00","$150,000.00",,0.8176,,,0,680 DIXWELL AVENUE,"680 DIXWELL AVENUE
New Haven, CT
(41.33170866800003, -72.93522749799996)"
New Haven,110040,2011,10/18/11,"$129,080.00","$189,500.00",,0.68116095,,1,1,122 BROOKLAWN CIRCLE,"122 BROOKLAWN CIRCLE
New Haven, CT
(41.32590462500008, -72.98116666999994)"
New Haven,110034,2011,10/18/11,"$65,100.00","$85,000.00",,0.765882353,7,2,1,57 ORCHARD STREET,"57 ORCHARD STREET
New Haven, CT
(41.30309635900005, -72.94202135199998)"
New Haven,110037,2011,10/18/11,"$63,700.00","$68,000.00",,0.936764706,7,2,1,47 GREENWOOD STREET,"47 GREENWOOD STREET
New Haven, CT
(41.305478125000036, -72.94461513799996)"
New Haven,110029,2011,10/18/11,"$119,140.00","$54,000.00",,2.206296296,25,1,1,26 AUSTIN STREET,"26 AUSTIN STREET
New Haven, CT
(41.32943867300003, -72.95663343799998)"
New Haven,110038,2011,10/18/11,"$70,980.00","$68,000.00",,1.043823529,7,1,1,369 SHELTON AVENUE,"369 SHELTON AVENUE
New Haven, CT
(41.33305799000004, -72.93098825399994)"
New Haven,110030,2011,10/18/11,"$73,430.00","$100,000.00",,0.7343,7,3,1,128 CARLISLE STREET,"128 CARLISLE STREET
New Haven, CT
(41.29670570500008, -72.93099666599994)"
New Haven,110031,2011,10/18/11,"$57,330.00","$85,000.00",,0.674470588,7,2,1,64 BASSETT STREET,"64 BASSETT STREET
New Haven, CT
(41.33112330900008, -72.92859611699998)"
New Haven,110032,2011,10/18/11,"$41,650.00","$85,000.00",,0.49,7,2,1,99 LAMBERTON STREET,"99 LAMBERTON STREET
New Haven, CT
(41.29087472400005, -72.93540059499998)"
New Haven,110035,2011,10/18/11,"$39,620.00","$68,000.00",,0.582647059,7,2,1,182 SALTONSTALL AVENUE,"182 SALTONSTALL AVENUE
New Haven, CT
(41.30464272100005, -72.90135847899995)"
New Haven,110039,2011,10/18/11,"$60,200.00","$68,000.00",,0.885294118,7,2,1,101 SHEPARD STREET,"101 SHEPARD STREET
New Haven, CT
(41.33413998300006, -72.92823660499994)"
New Haven,110044,2011,10/19/11,"$76,790.00","$46,500.00",,1.651397849,14,1,1,617 DIXWELL AVENUE,"617 DIXWELL AVENUE
New Haven, CT
(41.32988115000006, -72.93514453399996)"
New Haven,110043,2011,10/19/11,"$92,330.00","$94,900.00",,0.972918862,14,3,1,227 CLINTON AVENUE,"227 CLINTON AVENUE
New Haven, CT
(41.31631879300005, -72.89210565599996)"
New Haven,110045,2011,10/19/11,"$126,700.00","$205,000.00",,0.61804878,,1,1,174 HOWARD AVENUE,"174 HOWARD AVENUE
New Haven, CT
(41.28594118700005, -72.93093524899996)"
New Haven,110041,2011,10/19/11,"$48,370.00","$55,000.00",,0.879454545,25,C,1,1423 QUINNIPIAC AVE 705,"1423 QUINNIPIAC AVE 705
New Haven, CT
(41.32469015000004, -72.87146396599996)"
New Haven,110042,2011,10/19/11,"$91,980.00","$79,900.00",,1.151188986,14,3,1,174 DOVER STREET,"174 DOVER STREET
New Haven, CT
(41.31785374800006, -72.89495915799995)"
New Haven,110048,2011,10/20/11,"$54,180.00","$52,000.00",,1.041923077,7,1,1,39 STEVENS STREET,"39 STEVENS STREET
New Haven, CT
(41.30258705000006, -72.94315058799998)"
New Haven,110047,2011,10/20/11,"$59,940.00","$57,000.00",,1.051578947,14,C,1,44 HARD STREET UNIT 3,"44 HARD STREET UNIT 3
New Haven, CT
(41.33039404900006, -72.95715211399994)"
New Haven,110046,2011,10/20/11,"$80,220.00","$150,000.00",,0.5348,,3,1,259 CHATHAM STREET,"259 CHATHAM STREET
New Haven, CT
(41.314005707000035, -72.89738501899996)"
New Haven,110055,2011,10/21/11,"$213,500.00","$350,000.00",,0.61,,,0,30 PARDEE STREET,"30 PARDEE STREET
New Haven, CT
(41.298087390000035, -72.89158597699998)"
New Haven,110050,2011,10/21/11,"$50,540.00","$75,000.00",,0.673866667,,1,1,141 BUTLER STREET,"141 BUTLER STREET
New Haven, CT
(41.33391067900004, -72.92946724199999)"
New Haven,110049,2011,10/21/11,"$47,740.00","$75,000.00",,0.636533333,,1,1,102 HAVEN STREET,"102 HAVEN STREET
New Haven, CT
(41.309677040000054, -72.90433712799995)"
New Haven,110054,2011,10/21/11,"$143,290.00","$160,000.00",,0.8955625,25,1,1,548 CENTRAL AVENUE,"548 CENTRAL AVENUE
New Haven, CT
(41.324051756000074, -72.96088420499996)"
